"","Indice","YearFixed","MonthFixed","SpeciesFixed","DateFormated","WeekDayNumber","HemisphereFixed","AgeFixed","Sex","ActivityFixed","CountryFixed","ContinentFixed","Area","LargoMetrosFixed","LargoEstandarizado","FatalFixed"
"1",1,"2018","06","WHITE_SHARK","2018/06/25",2,"North",57,"F","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","California",NA,"N/A",0
"2",2,"2018","06","SPECIE_UNKNOWN","2018/06/18",2,"North",11,"F","STANDING","USA","NORTH_AMERICA","Georgia",NA,"N/A",0
"3",3,"2018","06","SPECIE_UNKNOWN","2018/06/09",7,"North",48,"M","SURFING","USA","NORTH_AMERICA","Hawaii",NA,"N/A",0
"4",4,"2018","06","SPECIE_UNKNOWN","2018/06/08",6,"South",-1,"M","SURFING","AUSTRALIA","OCEANIA","New South Wales",2,"LARGO_1_2",0
"5",5,"2018","06","TIGER_SHARK","2018/06/04",2,"North",-1,"M","DIVING","MEXICO","NORTH_AMERICA","Colima",3,"LARGO_2_3",0
"6",6,"2018","06","SPECIE_UNKNOWN","2018/06/03",1,"South",-1,"M","SURFING","AUSTRALIA","OCEANIA","New South Wales",NA,"N/A",0
"7",7,"2018","06","TIGER_SHARK","2018/06/03",1,"South",18,"M","SWIMMING","BRAZIL","SOUTH_AMERICA","Pernambuco",NA,"N/A",1
"8",8,"2018","05","LEMON_SHARK","2018/05/27",1,"North",52,"M","FISHING","USA","NORTH_AMERICA","Florida",0.9144,"LARGO_0_1",0
"9",9,"2018","05","BULL_SHARK","2018/05/26",7,"North",15,"M","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","Florida",1.8288,"LARGO_1_2",0
"10",10,"2018","05","SPECIE_UNKNOWN","2018/05/26",7,"North",12,"M","STANDING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"11",11,"2018","05","GREY_SHARK","2018/05/24",5,"South",32,"M","ACTIVITY_UNKNOWN","AUSTRALIA","OCEANIA","Queensland",NA,"N/A",0
"12",12,"2018","05","SPECIE_UNKNOWN","2018/05/21",2,"North",10,"M","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","South Carolina",NA,"N/A",0
"13",13,"2018","05","SPECIE_UNKNOWN","2018/05/13",1,"North",10,"M","SWIMMING","USA","NORTH_AMERICA","South Carolina",NA,"N/A",0
"14",14,"2018","05","SPECIE_UNKNOWN","2018/05/13",1,"North",21,"M","FISHING","ENGLAND","EUROPE","Cornwall",NA,"N/A",0
